name,era+,fip,so_bb
Payton Tolle*,176.0,2.67,3.92
Garrett Crochet (60-day IL)*,64.0,4.31,3.36
Ranger Suárez*,119.0,3.13,3.0
Sonny Gray,126.0,3.95,2.75
Connelly Early*,123.0,4.63,2.74
